chimera,chim.id,env,fts,emo,emo.fts,subj.01,subj.02,subj.03,subj.04,subj.05,subj.06,subj.07,subj.08,subj.09,subj.10,subj.11,subj.12,subj.13,subj.14,subj.15,subj.16,subj.17,subj.18,subj.19,subj.20,subj.21,subj.22,subj.23,subj.24,subj.25,subj.26,subj.27,subj.28,subj.29,subj.30,subj.31,subj.32,subj.33,subj.34,subj.35,subj.36,subj.37,subj.38,subj.39,subj.40,subj.41,subj.42,subj.43,subj.44,subj.45,subj.46,subj.47,subj.48,subj.49,subj.50,subj.51,subj.52,subj.53,subj.54,subj.55,subj.56,subj.57,subj.58,subj.59,subj.60,subj.61,subj.62,subj.63,subj.64
18Henv16Sftsnb8,18,16,8,h,s,s,s,s,s,h,h,s,h,h,s,h,s,s,s,s,s,h,s,s,s,s,h,s,h,h,s,s,s,s,h,s,s,s,h,s,h,h,s,h,h,s,h,s,s,h,s,h,s,h,h,s,s,h,s,s,h,s,s,s,s,h,s,s,s
18Henv16Sftsnb16,18,16,16,h,s,s,h,h,h,h,h,s,h,h,h,h,s,h,s,s,s,s,h,s,s,s,h,h,s,h,s,s,s,s,h,s,h,h,h,s,h,h,s,h,h,s,s,h,s,h,s,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,s,h,s
18Henv16Sftsnb32,18,16,32,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,s,h,h,h,s,h,h,h,h,s,h,s,h,h,h,s,h,s,h,s,h,h,s,h,h,s,h,s,s,h,s,h,h,h,h,s,h,h,h,h,s,h,s,h,h,s,s,h,s
18Henv16Sftsnb64,18,16,64,h,s,s,h,h,h,h,s,h,s,s,h,h,h,h,h,s,s,h,h,h,h,h,h,s,h,h,h,s,s,h,h,h,h,h,s,h,h,h,h,h,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h
19S,19,0,0,s,s,h,h,s,s,s,h,s,s,h,h,s,h,h,s,s,h,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,h,s,s,s,h,s,s,s,h,s,s,s,s,s,s,h,s
19Senv28Hftsnb2,19,28,2,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
19Senv28Hftsnb4,19,28,4,s,h,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
19Senv28Hftsnb8,19,28,8,s,h,s,h,h,h,s,h,h,s,s,h,s,h,s,h,h,h,s,h,h,h,h,s,s,s,h,h,s,s,h,h,h,h,s,s,h,h,h,h,s,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h
19Senv28Hftsnb16,19,28,16,s,h,s,s,h,s,s,h,h,h,s,s,s,h,h,s,h,h,s,h,h,h,h,s,s,s,s,s,s,s,s,s,s,h,s,s,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,s,h,h,s,h,s,h,h,h
19Senv28Hftsnb32,19,28,32,s,h,s,s,s,s,s,s,s,s,h,h,s,s,h,s,s,h,h,h,h,s,s,s,s,h,s,s,s,s,h,s,h,h,h,s,s,h,h,h,h,h,s,h,s,h,h,s,h,s,s,h,s,s,s,s,s,s,h,s,h,h,s,s,s,h
19Senv28Hftsnb64,19,28,64,s,h,s,s,s,s,s,s,h,s,s,s,h,h,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,h,s,h,s,s,h,s,s,s,s,h,h,s,h,s,s,h,s,h,s,s,s,h,s,s,s,s,s,s,h,h
20S,20,0,0,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s
20Senv14Hftsnb2,20,14,2,s,h,h,h,s,h,s,h,h,h,s,h,h,s,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
20Senv14Hftsnb4,20,14,4,s,h,h,s,h,h,s,h,h,s,h,h,s,s,h,h,s,h,h,h,h,h,h,h,s,h,h,h,h,s,s,h,h,h,h,h,h,h,h,h,h,s,h,h,s,h,h,h,h,s,h,h,h,s,s,h,h,h,s,h,h,h,h,h,h,h
20Senv14Hftsnb8,20,14,8,s,h,h,h,h,h,s,h,h,h,h,s,h,s,s,h,s,h,h,s,h,h,h,h,s,h,s,h,h,s,s,s,h,h,h,h,h,h,h,h,h,s,h,h,h,h,s,h,h,s,h,h,h,h,h,h,h,s,h,h,s,h,h,h,s,h
20Senv14Hftsnb16,20,14,16,s,h,h,s,h,h,s,h,h,h,h,h,h,s,h,h,s,h,s,s,h,h,h,s,s,s,s,h,h,s,s,h,h,h,h,s,h,h,h,h,s,s,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,s,h,h,s,h,h,h,s,h
20Senv14Hftsnb32,20,14,32,s,h,h,h,s,s,h,h,h,s,s,s,h,s,h,h,s,s,s,s,h,s,h,s,s,s,s,h,h,s,h,s,h,s,h,s,s,s,s,h,h,s,h,h,h,h,h,h,h,s,h,h,s,h,h,h,s,s,h,h,s,h,s,h,s,h
20Senv14Hftsnb64,20,14,64,s,h,h,h,s,s,h,s,s,s,h,s,h,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,h,h,s,h,h,s,s,s,s,h,s,h,h,s,h,s,s,h,s,h,h,s,s,h,s,h,s,h,h,h
21H,21,0,0,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
21Henv09Sftsnb2,21,9,2,h,s,h,s,h,h,s,h,s,h,s,h,h,s,h,h,s,s,h,h,h,s,h,h,s,s,h,h,h,h,h,h,h,s,h,h,s,h,s,s,h,h,s,h,h,h,h,s,h,h,h,h,s,s,h,h,h,s,h,s,h,h,h,h,h,s
21Henv09Sftsnb4,21,9,4,h,s,s,h,h,h,h,h,s,h,h,h,h,h,h,h,s,s,h,h,h,h,s,h,s,s,h,h,h,s,h,h,s,s,h,h,s,h,h,s,h,h,s,s,s,s,h,s,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,s,h,s
21Henv09Sftsnb8,21,9,8,h,s,s,h,h,h,s,h,s,h,s,h,h,h,s,h,h,s,s,h,h,h,s,h,s,s,s,h,h,s,s,h,s,h,h,h,s,h,h,s,h,h,s,h,h,s,h,s,h,h,h,h,s,h,h,s,h,h,h,s,s,h,h,h,h,s
21Henv09Sftsnb16,21,9,16,h,s,s,s,s,h,s,h,h,h,s,h,h,h,h,h,s,h,s,h,s,h,h,h,s,h,h,h,s,s,s,h,h,h,h,s,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h
21Henv09Sftsnb32,21,9,32,h,s,s,s,h,h,h,h,h,s,h,h,h,h,h,h,s,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
21Henv09Sftsnb64,21,9,64,h,s,h,s,h,h,s,h,h,h,h,h,h,h,h,s,s,h,h,h,h,h,h,h,s,h,h,h,s,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,s,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
22S,22,0,0,s,s,s,s,s,s,s,s,s,s,h,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
